titre,auteur,date_publication,cote_rangement
A Brief History of Time: From the Big Bang to Black Holes,Stephen Hawking,1987,H007
"A Child Called ""It"": One Child's Courage to Survive",Dave Pelzer,1995,P014
A Christmas Carol,Charles Dickens,1843,D021
A Clash of Kings,George R.R. Martin,1998,R001
A Confederacy of Dunces,John Kennedy Toole,1980,T013
A Dance with Dragons,George R.R. Martin,2011,R004
A Discovery of Witches,Deborah Harkness,2011,H003
A Farewell to Arms,Ernest Hemingway,1929,H015
A Feast for Crows,George R.R. Martin,2005,R003
A Game of Thrones,George R.R. Martin,1996,R005
A Grief Observed,C.S. Lewis,1942,L019
A Heartbreaking Work of Staggering Genius,Dave Eggers,2000,E004
A Light in the Attic,Shel Silverstein,1981,S047
A Midsummer Night's Dream,William Shakespeare,1595,S033
A Million Little Pieces,James Frey,2003,F020
A Prayer for Owen Meany,John Irving,1989,I002
A Short History of Nearly Everything,Bill Bryson,2003,B016
A Storm of Swords,George R.R. Martin,2000,R002
A Streetcar Named Desire,Tennessee Williams,1947,W017
A Study in Scarlet,Arthur Conan Doyle,1887,D027
A Tale of Two Cities,Charles Dickens,1859,D022
A Thousand Splendid Suns,Khaled Hosseini,2007,H023
A Time to Kill,John Grisham,1989,G030
A Walk in the Woods,Bill Bryson,1997,B017
A Walk to Remember,Nicholas Sparks,1999,S054
Alice's Adventures in Wonderland,Lewis Carroll,1865,C009
Allegiant,Veronica Roth,2013,R023
Along Came a Spider,James Patterson,1993,P010
American Gods,Neil Gaiman,2001,G003
American Psycho,Bret Easton Ellis,1991,E005
An Abundance of Katherines,John Green,2006,G024
An Excellent conceited Tragedie of Romeo and Juliet,William Shakespeare,1595,S040
Angela's Ashes: A Memoir,Frank McCourt,1996,M010
Angels & Demons,Dan Brown,2000,B014
Animal Farm: A Fairy Story,George Orwell,1945,O005
Anna and the French Kiss,Stephanie Perkins,2010,P015
Anne of Green Gables,L.M. Montgomery,1908,M031
Artemis Fowl,Eoin Colfer,2001,C032
As You Like It,William Shakespeare,1599,S028
Atlas Shrugged,Ayn Rand,1957,R006
Atonement,Ian McEwan,2001,M013
Bared to You,Sylvia Day,2012,D011
Beautiful Creatures,Kami Garcia,2009,G010
Beautiful Disaster,Jamie McGuire,2011,M014
Before I Fall,Lauren Oliver,2010,O003
Before I Go to Sleep,S.J. Watson,2011,W005
Bel Canto,Ann Patchett,2001,P007
Beloved,Toni Morrison,1987,M038
Betrayed: a House of Night Novel,P.C. Cast,2007,C013
Big Little Lies,Liane Moriarty,2014,M036
