cote_rangement,date_emprunt
E004,2023-07-02
B017,2023-12-11
S054,2024-03-02
B016,2024-06-22
R005,2024-07-11
G010,2024-07-20
D027,2024-08-01
D022,2024-08-02
K021,2024-08-04
T013,2024-08-09
A013,2024-08-09
H015,2024-08-10
H023,2024-08-14
G030,2024-08-17
M020,2024-08-25
C013,2024-09-01
B001,2024-09-01
S001,2024-09-01
Y003,2024-09-01
P022,2024-09-02
C010,2024-09-03
G018,2024-09-03
I001,2024-09-03
S048,2024-09-03
C008,2024-09-04
B005,2024-09-06
H016,2024-09-07
A001,2024-09-07
L021,2024-09-07
P021,2024-09-07
K023,2024-09-08
P005,2024-09-08
C037,2024-09-08
L003,2024-09-08
T007,2024-09-08
C007,2024-09-08
L020,2024-09-08
B008,2024-09-08
S020,2024-09-09
M024,2024-09-09
P008,2024-09-09
K003,2024-09-09
M030,2024-09-09
R030,2024-09-09
F014,2024-09-09
G009,2024-09-09
B011,2024-09-09
S007,2024-09-09
D006,2024-09-09
L002,2024-09-09
S052,2024-09-09
W011,2024-09-09
H026,2024-09-22
